Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches, player_id
1,Martin Ødegaard,no NOR,MF,Arsenal,26,1998,15.2,1,22,8,36.4,1.45,0.53,0.05,0.13,0,0,Matches,79300479
2,Martín Zubimendi,es ESP,MF,Arsenal,26,1999,33.2,5,27,9,33.3,0.81,0.27,0.19,0.56,0,0,Matches,3ee0dd59
3,Ben White,eng ENG,DF,Arsenal,27,1997,7.8,0,5,1,20.0,0.64,0.13,0.00,0.00,0,0,Matches,35e413f1
4,Leandro Trossard,be BEL,FWMF,Arsenal,30,1994,22.2,6,53,15,28.3,2.39,0.68,0.11,0.40,0,0,Matches,38ceb24a
5,Jurriën Timber,nl NED,DF,Arsenal,24,2001,27.3,3,25,7,28.0,0.92,0.26,0.12,0.43,0,0,Matches,41034650
6,William Saliba,fr FRA,DF,Arsenal,24,2001,29.0,1,5,1,20.0,0.17,0.03,0.20,1.00,0,0,Matches,972aeb2a
7,Bukayo Saka,eng ENG,FWMF,Arsenal,23,2001,24.7,7,71,27,38.0,2.88,1.09,0.08,0.22,1,1,Matches,bc7dc64d
8,Declan Rice,eng ENG,MF,Arsenal,26,1999,34.4,4,40,13,32.5,1.16,0.38,0.10,0.31,0,0,Matches,1c7012b8
9,David Raya,es ESP,GK,Arsenal,29,1995,37.0,0,0,0,,0.00,0.00,,,0,0,Matches,98ea5115
10,Christian Nørgaard,dk DEN,MF,Arsenal,31,1994,1.2,0,2,1,50.0,1.70,0.85,0.00,0.00,0,0,Matches,df0a4c90
11,Ethan Nwaneri,eng ENG,MF,Arsenal,18,2007,1.9,0,6,0,0.0,3.16,0.00,0.00,,0,0,Matches,7f94982c
12,Cristhian Mosquera,es ESP,DF,Arsenal,21,2004,11.0,0,1,0,0.0,0.09,0.00,0.00,,0,0,Matches,dc1ce4f5
13,Mikel Merino,es ESP,MFFW,Arsenal,29,1996,11.5,4,22,8,36.4,1.91,0.69,0.18,0.50,0,0,Matches,d080ed5e
14,Gabriel Martinelli,br BRA,FWMF,Arsenal,24,2001,12.0,1,29,13,44.8,2.41,1.08,0.03,0.08,0,0,Matches,48a5a5d6
15,Gabriel Magalhães,br BRA,DF,Arsenal,27,1997,30.6,3,27,7,25.9,0.88,0.23,0.11,0.43,0,0,Matches,67ac5bb8
16,Noni Madueke,eng ENG,FWMF,Arsenal,23,2002,13.5,3,25,9,36.0,1.86,0.67,0.12,0.33,0,0,Matches,bf34eebd
17,Myles Lewis-Skelly,eng ENG,MFDF,Arsenal,18,2006,7.9,0,2,0,0.0,0.25,0.00,0.00,,0,0,Matches,5dff6c28
18,Gabriel Jesus,br BRA,FW,Arsenal,28,1997,4.8,3,19,12,63.2,3.99,2.52,0.16,0.25,0,0,Matches,b66315ae
19,Piero Hincapié,ec ECU,DF,Arsenal,23,2002,19.9,1,3,2,66.7,0.15,0.10,0.33,0.50,0,0,Matches,0c7a48f8
20,Kai Havertz,de GER,FWMF,Arsenal,26,1999,6.5,2,18,4,22.2,2.79,0.62,0.11,0.50,0,0,Matches,fed7cb61
21,Viktor Gyökeres,se SWE,FW,Arsenal,27,1998,24.7,14,55,22,40.0,2.23,0.89,0.20,0.50,3,3,Matches,4d5a9185
22,Eberechi Eze,eng ENG,MFFW,Arsenal,27,1998,20.1,7,57,18,31.6,2.83,0.89,0.12,0.39,0,0,Matches,ae4fc6a4
23,Max Dowman,eng ENG,MF,Arsenal,15,2009,1.7,1,6,1,16.7,3.44,0.57,0.17,1.00,0,0,Matches,9008bb70
24,Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,18.9,1,32,8,25.0,1.70,0.42,0.03,0.13,0,0,Matches,aded8e6f
25,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,28d596a0
26,Ollie Watkins,eng ENG,FW,Aston Villa,29,1995,31.5,16,83,38,45.8,2.63,1.20,0.19,0.42,0,0,Matches,aed3a70f
27,Pau Torres,es ESP,DF,Aston Villa,28,1997,18.6,0,9,1,11.1,0.48,0.05,0.00,0.00,0,0,Matches,532e1e4f
28,Youri Tielemans,be BEL,MF,Aston Villa,28,1997,20.7,0,24,7,29.2,1.16,0.34,0.00,0.00,0,0,Matches,56f7a928
29,Jadon Sancho,eng ENG,MF,Aston Villa,25,2000,9.7,0,10,3,30.0,1.03,0.31,0.00,0.00,0,0,Matches,dbf053da
30,Morgan Rogers,eng ENG,MF,Aston Villa,23,2002,36.4,10,84,32,38.1,2.30,0.88,0.12,0.31,0,0,Matches,2e5915f1
31,Amadou Onana,be BEL,MF,Aston Villa,23,2001,19.5,2,19,7,36.8,0.97,0.36,0.11,0.29,0,0,Matches,828657ff
32,Tyrone Mings,eng ENG,DF,Aston Villa,32,1993,14.7,0,9,1,11.1,0.61,0.07,0.00,0.00,0,0,Matches,8397a50c
33,John McGinn,sct SCO,MF,Aston Villa,30,1994,23.7,5,28,12,42.9,1.18,0.51,0.18,0.42,0,0,Matches,90f91999
