"number";"player";"team";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
1;"Erling Haaland";"Manchester City";28.8;25.75;5.51;32.74;5.16;0.87;0.78;0.17;1.04;0.94;0.99;0.16
2;"Thiago";"Brentford";24.69;17.84;3.45;22.69;4.93;0.67;0.49;0.09;0.77;0.58;0.62;0.13
3;"Antoine Semenyo";"Bournemouth,Manchester City";12.84;11.31;4.13;20.87;7.89;0.36;0.32;0.12;0.47;0.43;0.58;0.22
4;"Ollie Watkins";"Aston Villa";18.83;18.83;2.82;21.75;4.34;0.58;0.58;0.09;0.67;0.67;0.67;0.13
5;"Morgan Gibbs-White";"Nottingham Forest";11.67;10.91;4.5;17.27;5.41;0.33;0.31;0.13;0.46;0.44;0.49;0.16
6;"João Pedro";"Chelsea";15.72;15.72;3.98;19.28;4.8;0.52;0.52;0.13;0.66;0.66;0.64;0.16
7;"Dominic Calvert-Lewin";"Leeds";18.67;14.87;1.54;18.03;2.77;0.62;0.49;0.05;0.67;0.54;0.59;0.09
8;"Viktor Gyokeres";"Arsenal";13.87;11.59;2.65;14.78;3.26;0.55;0.46;0.11;0.66;0.57;0.59;0.13
9;"Danny Welbeck";"Brighton";12.72;10.44;2.26;14.98;4.8;0.5;0.41;0.09;0.59;0.5;0.59;0.19
10;"Eli Junior Kroupi";"Bournemouth";8.85;7.33;1.82;11.66;5.08;0.47;0.39;0.1;0.56;0.48;0.61;0.27
11;"Jean-Philippe Mateta";"Crystal Palace";15.98;12.93;1.25;15.17;2.39;0.65;0.52;0.05;0.7;0.57;0.61;0.1
12;"Richarlison";"Tottenham";9.87;9.87;3.41;11.19;2.26;0.46;0.46;0.16;0.62;0.62;0.52;0.11
13;"Bryan Mbeumo";"Manchester United";13.31;13.31;5.09;22.32;6.07;0.45;0.45;0.17;0.62;0.62;0.75;0.2
14;"Hugo Ekitike";"Liverpool";11.93;11.93;2.49;16.32;4.89;0.59;0.59;0.12;0.71;0.71;0.8;0.24
15;"Benjamin Sesko";"Manchester United";12.5;12.5;0.6;14.23;1.63;0.69;0.69;0.03;0.72;0.72;0.78;0.09
16;"Zian Flemming";"Burnley";9.55;8.03;0.68;7.83;1.72;0.48;0.4;0.03;0.51;0.44;0.39;0.09
17;"Harry Wilson";"Fulham";5.76;5.76;5.5;11.09;4.13;0.19;0.19;0.18;0.37;0.37;0.36;0.14
18;"Matheus Cunha";"Manchester United";7.08;7.08;3.7;17.6;10.04;0.25;0.25;0.13;0.39;0.39;0.63;0.36
19;"Cole Palmer";"Chelsea";10.26;5.69;2.12;16.86;10.54;0.46;0.26;0.1;0.56;0.35;0.76;0.47
20;"Enzo Fernández";"Chelsea";11.92;10.39;8.87;27.9;16.16;0.34;0.3;0.25;0.59;0.55;0.8;0.46
21;"Morgan Rogers";"Aston Villa";7.15;7.15;7.48;18.2;7.18;0.19;0.19;0.2;0.4;0.4;0.5;0.2
22;"Bruno Fernandes";"Manchester United";11.93;7.36;17.76;25.94;11.66;0.35;0.22;0.52;0.87;0.73;0.76;0.34
23;"Jarrod Bowen";"West Ham";8.27;7.51;8.43;14.38;3.88;0.22;0.2;0.22;0.44;0.42;0.38;0.1
24;"Casemiro";"Manchester United";6.58;6.58;3.18;16.17;11.88;0.22;0.22;0.11;0.33;0.33;0.55;0.4
25;"Raúl Jiménez";"Fulham";12.02;8.97;1.94;10.55;1.56;0.49;0.36;0.08;0.57;0.44;0.43;0.06
26;"Ismaila Sarr";"Crystal Palace";11.54;9.26;2.2;12.7;3.18;0.48;0.38;0.09;0.57;0.47;0.52;0.13
27;"Bruno Guimarães";"Newcastle United";6.6;5.07;3.87;14.1;9.37;0.24;0.19;0.14;0.38;0.33;0.51;0.34
