Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,2,38,38,3420,38.0,27,0.71,89,61,69.7,26,7,5,19,50.0,0,0,0,0,
Aston Villa,2,38,38,3420,38.0,49,1.29,163,114,69.9,19,8,11,9,23.7,2,1,1,0,50.0
Bournemouth,1,38,38,3420,38.0,54,1.42,163,109,66.9,13,18,7,11,28.9,6,6,0,0,0.0
Brentford,2,38,38,3420,38.0,52,1.37,158,106,67.1,14,11,13,10,26.3,8,5,3,0,37.5
Brighton,1,38,38,3420,38.0,46,1.21,151,103,69.5,14,11,13,10,26.3,6,5,1,0,16.7
Burnley,2,38,38,3420,38.0,75,1.97,212,137,64.6,4,10,24,4,10.5,8,7,0,1,0.0
Chelsea,2,38,38,3418,38.0,54,1.42,160,105,66.3,14,10,14,9,23.7,2,2,0,0,0.0
Crystal Palace,2,38,38,3420,38.0,51,1.34,159,107,67.9,11,12,15,12,31.6,7,5,1,1,16.7
Everton,1,38,38,3420,38.0,50,1.32,149,99,66.4,13,10,15,11,28.9,4,3,1,0,25.0
Fulham,1,38,38,3420,38.0,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0.0
Leeds United,2,38,38,3420,38.0,56,1.47,157,101,64.3,11,14,13,8,21.1,6,6,0,0,0.0
Liverpool,3,38,38,3420,38.0,53,1.39,152,99,65.1,17,9,12,10,26.3,4,3,1,0,25.0
Manchester City,2,38,38,3420,38.0,35,0.92,126,89,72.2,23,9,6,16,42.1,2,1,1,0,50.0
Manchester Utd,2,38,38,3420,38.0,50,1.32,142,91,64.8,20,11,7,8,21.1,4,4,0,0,0.0
Newcastle,2,38,38,3420,38.0,55,1.45,168,113,67.3,14,7,17,8,21.1,5,5,0,0,0.0
Nottingham,4,38,38,3420,38.0,51,1.34,158,107,67.7,11,11,16,9,23.7,6,5,1,0,16.7
Sunderland,2,38,38,3420,38.0,48,1.26,166,118,71.1,14,12,12,11,28.9,3,2,1,0,33.3
Tottenham,2,38,38,3420,38.0,57,1.50,150,93,62.0,10,11,17,9,23.7,3,3,0,0,0.0
West Ham,2,38,38,3420,38.0,65,1.71,195,129,66.7,10,9,19,7,18.4,7,6,0,1,0.0
Wolves,3,38,38,3420,38.0,68,1.79,179,111,62.0,3,11,24,4,10.5,5,5,0,0,0.0
