Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,25,26.0,56.4,38,418,3420,38.0,67,51,118,63,4,4,51,0,1.76,1.34,3.11,1.66,3.00
Aston Villa,30,28.0,53.7,38,418,3420,38.0,53,40,93,53,0,0,58,1,1.39,1.05,2.45,1.39,2.45
Bournemouth,26,25.0,50.1,38,418,3420,38.0,57,35,92,52,5,6,88,2,1.50,0.92,2.42,1.37,2.29
Brentford,26,25.2,47.5,38,418,3420,38.0,53,33,86,45,8,10,69,1,1.39,0.87,2.26,1.18,2.05
Brighton,28,26.1,53.9,38,418,3420,38.0,51,33,84,48,3,5,86,0,1.34,0.87,2.21,1.26,2.13
Burnley,28,27.0,42.5,38,418,3420,38.0,35,27,62,33,2,2,66,3,0.92,0.71,1.63,0.87,1.58
Chelsea,30,24.1,57.7,38,418,3420,38.0,57,39,96,50,7,8,98,8,1.50,1.03,2.53,1.32,2.34
Crystal Palace,30,26.2,45.9,38,418,3420,38.0,40,23,63,32,8,8,76,2,1.05,0.61,1.66,0.84,1.45
Everton,22,27.3,43.8,38,418,3420,38.0,45,34,79,43,2,2,74,4,1.18,0.89,2.08,1.13,2.03
Fulham,24,28.1,51.7,38,418,3420,38.0,43,26,69,38,5,5,75,1,1.13,0.68,1.82,1.00,1.68
Leeds United,24,26.8,45.7,38,418,3420,38.0,48,24,72,42,6,8,64,1,1.26,0.63,1.89,1.11,1.74
Liverpool,24,26.6,59.3,38,418,3420,38.0,61,44,105,60,1,2,57,1,1.61,1.16,2.76,1.58,2.74
Manchester City,27,25.4,60.7,38,418,3420,38.0,74,57,131,71,3,4,67,0,1.95,1.50,3.45,1.87,3.37
Manchester Utd,27,26.1,51.9,38,418,3420,38.0,66,46,112,62,4,6,64,3,1.74,1.21,2.95,1.63,2.84
Newcastle,26,26.7,52.5,38,418,3420,38.0,53,33,86,47,6,6,67,3,1.39,0.87,2.26,1.24,2.11
Nottingham,31,25.9,46.8,38,418,3420,38.0,47,34,81,44,3,3,60,1,1.24,0.89,2.13,1.16,2.05
Sunderland,29,25.3,44.9,38,418,3420,38.0,38,25,63,34,4,5,82,3,1.00,0.66,1.66,0.89,1.55
Tottenham,31,25.3,50.4,38,418,3420,38.0,47,36,83,47,0,0,101,4,1.24,0.95,2.18,1.24,2.18
West Ham,32,26.3,42.6,38,418,3420,38.0,44,31,75,41,3,3,69,3,1.16,0.82,1.97,1.08,1.89
Wolves,31,25.8,42.8,38,418,3420,38.0,26,18,44,23,3,5,80,3,0.68,0.47,1.16,0.61,1.08
